id,name,latitude,longitude,dpcapacity,online date
43,Michigan Ave & Washington St,41.88389277,-87.62464914,43,6/16/13
44,State St & Randolph St,41.8847302,-87.62773357,27,6/16/13
33,State St & Van Buren St,41.877181,-87.627844,27,6/25/13
199,Wabash Ave & Grand Ave,41.891738,-87.626937,15,8/10/13
51,Clark St & Randolph St,41.88457623,-87.63188991,31,6/17/13
98,LaSalle St & Washington St,41.882664,-87.63253,15,7/15/13
286,Franklin St & Quincy St,41.878724,-87.634793,23,9/14/13
90,Millennium Park,41.8810317,-87.62408432,35,6/16/13
50,Clark St & Congress Pkwy,41.87593267,-87.63058454,27,6/16/13
91,Clinton St & Washington Blvd,41.88338,-87.64117,31,6/27/13
192,Canal St & Adams St,41.878948,-87.63975,39,8/7/13
48,Larrabee St & Kingsbury St,41.897764,-87.642884,27,6/16/13
100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,23,7/16/13
106,State St & Pearson St,41.897448,-87.628722,27,8/1/13
211,St Clair St & Erie St,41.894448,-87.622663,19,8/15/13
31,Franklin St & Chicago Ave,41.89680204,-87.63563839,23,6/22/13
36,Franklin St & Jackson Blvd,41.87770796,-87.63532114,31,6/15/13
37,Dearborn St & Adams St,41.87935636,-87.62979104,19,6/16/13
66,Clinton St & Lake St,41.88583274,-87.64138231,19,6/20/13
35,Streeter Dr & Illinois St,41.891071,-87.6122,39,8/5/13
81,Daley Center Plaza,41.884163,-87.629635,39,6/13/13
58,Marshfield Ave & Cortland St,41.916017,-87.668879,19,6/18/13
344,Wolcott Ave & Lawrence Ave,41.968641,-87.676335,15,10/9/13
108,Halsted St & Polk St,41.87184,-87.64664,19,8/6/13
109,900 W Harrison,41.874675,-87.650019,19,8/6/13
97,Museum Campus,41.865212,-87.617759,35,6/26/13
5,State St & Harrison St,41.87395806,-87.62773949,19,6/18/13
59,Wabash Ave & Roosevelt Rd,41.867173,-87.62595501,19,6/18/13
283,LaSalle St & Jackson Blvd,41.87817,-87.631985,23,9/14/13
84,Green St & Milwaukee Ave,41.891733,-87.648727,19,6/26/13
25,Michigan Ave & Pearson St,41.89766,-87.62351,23,6/22/13
197,Michigan Ave & Madison St,41.882134,-87.625125,19,8/10/13
68,Clinton St & Tilden St,41.875885,-87.640795,23,6/24/13
73,Jefferson St & Monroe St,41.880422,-87.642746,19,6/27/13
56,Desplaines St & Kinzie St,41.88871604,-87.64444785,19,6/17/13
45,Michigan Ave & Congress Pkwy,41.8760656,-87.62443336,15,6/16/13
85,Michigan Ave & Oak St,41.90096039,-87.62377664,23,6/21/13
52,Michigan Ave & Lake St,41.886024,-87.624117,31,6/17/13
54,Ogden Ave & Chicago Ave,41.89636246,-87.65406127,19,6/17/13
110,State St & Erie St,41.893975,-87.628623,23,8/1/13
46,Wells St & Walton St,41.89993001,-87.63443007,19,6/14/13
264,Stetson Ave & South Water St,41.886835,-87.62232,19,9/18/13
49,Dearborn St & Monroe St,41.88131982,-87.62952092,27,6/16/13
47,State St & Kinzie St,41.88918,-87.6277,19,6/18/13
26,McClurg Ct & Illinois St,41.89102,-87.6173,31,6/22/13
111,Sedgwick St & Huron St,41.894666,-87.638437,19,8/1/13
112,Green St & Randolph St,41.884078,-87.648684,15,7/29/13
321,Wabash Ave & 8th St,41.871962,-87.626106,19,9/21/13
191,Canal St & Monroe St,41.8807,-87.63947,23,8/7/13
287,Franklin St & Arcade Pl,41.881469,-87.635177,27,9/13/13
60,Dayton St & North Ave,41.91057803,-87.64942193,19,6/18/13
113,Bissell St & Armitage Ave,41.91844,-87.65222,15,9/5/13
67,Sheffield Ave & Fullerton Ave,41.92560188,-87.65370804,15,6/20/13
210,Ashland Ave & Division St,41.903448,-87.669313,19,8/16/13
114,Sheffield Ave & Addison St,41.94688,-87.65445,27,8/2/13
240,Sheridan Rd & Irving Park Rd,41.954245,-87.654406,23,8/21/13
53,Wells St & Erie St,41.893832,-87.634195,19,6/17/13
69,Damen Ave & Pierce Ave,41.90939601,-87.67769193,19,6/24/13
13,Wilton Ave & Diversey Pkwy,41.93250008,-87.65268082,19,6/20/13
115,Sheffield Ave & Wellington Ave,41.936253,-87.653566,23,7/22/13
116,Western Ave & Winnebago Ave,41.915533,-87.687051,15,7/26/13
117,Wilton Ave & Belmont Ave,41.94018,-87.65304,23,8/2/13
118,Sedgwick St & North Ave,41.910579,-87.638618,19,8/1/13
229,Southport Ave & Roscoe St,41.943739,-87.66402,19,8/29/13
71,Morgan St & Lake St,41.88548331,-87.65230486,15,6/24/13
119,Ashland Ave & Lake St,41.88541,-87.66732,19,7/28/13
293,Broadway & Wilson Ave,41.965485,-87.657238,19,9/18/13
120,Wentworth Ave & Archer Ave,41.854564,-87.631937,15,8/6/13
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,19,6/21/13
330,Lincoln Ave & Addison St,41.946176,-87.673308,19,9/26/13
230,Lincoln Ave & Roscoe St,41.94334,-87.67097,19,8/20/13
261,Hermitage Ave & Polk St,41.871514,-87.669886,15,9/5/13
122,Ogden Ave & Congress Pkwy,41.87501,-87.67328,15,7/28/13
184,State St & 35th St,41.83104,-87.62688,19,8/3/13
201,Indiana Ave & 40th St,41.82168,-87.6216,15,8/14/13
123,California Ave & Milwaukee Ave,41.922695,-87.697153,15,7/26/13
260,Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,19,9/17/13
271,Cottage Grove Ave & 43rd St,41.816499,-87.606582,11,9/12/13
244,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,19,8/22/13
205,Paulina St & 18th St,41.857901,-87.668745,15,8/15/13
124,Damen Ave & Cullerton St,41.855048,-87.675726,15,8/3/13
200,King Dr & 47th St,41.809851,-87.616279,11,8/14/13
203,Western Ave & 21st St,41.85394,-87.685243,15,8/15/13
238,Ravenswood Ave & Montrose Ave,41.961626,-87.674101,15,8/22/13
242,Damen Ave & Leland Ave,41.967094,-87.679028,15,8/22/13
348,California Ave & 21st St,41.854016,-87.695445,15,10/14/13
280,Morgan St & 31st St,41.8378,-87.65114,11,9/13/13
206,Halsted St & Archer Ave,41.847203,-87.646795,15,8/14/13
202,Halsted St & 18th St,41.857499,-87.646277,15,8/15/13
204,Prairie Ave & Garfield Blvd,41.794853,-87.618691,15,8/14/13
338,Calumet Ave & 18th St,41.857611,-87.619407,15,9/28/13
253,Clifton Ave & Lawrence Ave,41.968873,-87.658857,15,9/5/13
62,McCormick Place,41.85137517,-87.61883465,27,6/18/13
295,Broadway & Argyle St,41.972972,-87.659637,15,9/18/13
294,Broadway & Berwyn Ave,41.978353,-87.659753,15,9/18/13
239,Western Ave & Leland Ave,41.966555,-87.688487,15,8/21/13
267,Lake Park Ave & 47th St,41.809443,-87.591875,15,9/17/13
345,Lake Park Ave & 56th St,41.793242,-87.587782,15,10/9/13
220,Hampden Ct & Diversey Pkwy,41.93262,-87.642385,19,8/19/13
34,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15,6/27/13
243,Lincoln Ave & Leavitt St,41.962391,-87.684146,15,8/22/13
299,Halsted St & Roscoe St,41.943662,-87.648917,15,9/19/13
126,Clark St & North Ave,41.911974,-87.631942,15,7/29/13
231,Sheridan Rd & Montrose Ave,41.96167,-87.65464,15,8/20/13
127,Lincoln Ave & Fullerton Ave,41.925905,-87.64926,15,10/29/13
128,Damen Ave & Chicago Ave,41.895769,-87.67722,15,8/3/13
219,Damen Ave & Cortland St,41.916027,-87.677411,11,8/20/13
215,Damen Ave & Madison St,41.88137,-87.67493,15,8/15/13
129,Blue Island Ave & 18th St,41.857556,-87.661535,15,7/25/13
130,Damen Ave & Division St,41.90331,-87.67695,15,7/26/13
300,Broadway & Barry Ave,41.937601,-87.644005,15,9/19/13
75,Canal St & Jackson Blvd,41.877988,-87.640769,23,6/15/13
19,Loomis St & Taylor St,41.869417,-87.660996,15,6/21/13
131,Lincoln Ave & Belmont Ave,41.939365,-87.668385,15,9/23/13
214,Damen Ave & Grand Ave,41.89122,-87.67686,15,8/16/13
183,Damen Ave & Augusta Blvd,41.899714,-87.677234,15,7/26/13
228,Damen Ave & Melrose Ave,41.9406,-87.6785,11,8/20/13
308,Seeley Ave & Roscoe St,41.943403,-87.679618,11,9/27/13
258,Logan Blvd & Elston Ave,41.930584,-87.685126,19,9/9/13
94,Clark St & Armitage Ave,41.918306,-87.636282,19,6/22/13
313,Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973,19,9/20/13
72,State St & 16th St,41.86012138,-87.62772919,15,6/24/13
132,Wentworth Ave & 24th St,41.849237,-87.631715,15,9/5/13
273,Michigan Ave & 18th St,41.857937,-87.623633,15,9/12/13
20,Sheffield Ave & Kingsbury St,41.90959193,-87.65349723,15,6/21/13
88,May St & Randolph St,41.88397,-87.655688,15,6/27/13
80,Aberdeen St & Madison St,41.881487,-87.654752,19,6/26/13
21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15,6/21/13
134,Peoria St & Jackson Blvd,41.877749,-87.649633,19,7/25/13
198,Halsted St & Madison St,41.88175,-87.6478,19,8/10/13
22,May St & Taylor St,41.8694821,-87.6554864,15,6/21/13
282,Halsted St & Maxwell St,41.86458,-87.64693,15,9/13/13
135,Halsted St & 21st St,41.85378,-87.64665,11,7/24/13
14,Morgan St & 18th St,41.858086,-87.651073,15,6/20/13
15,Racine Ave & 18th St,41.85818061,-87.65648665,15,6/20/13
136,Racine Ave & 13th St,41.865054,-87.656959,15,7/31/13
55,Halsted St & James M Rochford St,41.865861,-87.646611,15,6/17/13
241,Morgan St & Polk St,41.871737,-87.65103,15,8/22/13
137,Morgan Ave & 14th Pl,41.862378,-87.651062,15,7/31/13
42,Wabash Ave & Cermak Rd,41.85323876,-87.62533709,15,6/18/13
138,Clybourn Ave & Division St,41.904509,-87.6405,15,8/5/13
23,Orleans St & Elm St,41.902924,-87.637715,15,6/21/13
140,Dearborn Pkwy & Delaware Pl,41.899007,-87.629928,19,8/1/13
27,Larrabee St & North Ave,41.91021,-87.6435,19,6/22/13
331,Halsted St & Blackhawk St,41.90854,-87.648568,19,9/28/13
141,Clark St & Lincoln Ave,41.915689,-87.6346,23,8/16/13
218,Wells St & 19th St,41.856802,-87.633879,11,8/23/13
224,Halsted St & Willow St,41.913778,-87.64884,19,8/22/13
289,Wells St & Concord Ln,41.912202,-87.634664,19,9/14/13
288,Larrabee St & Armitage Ave,41.91797,-87.64368,11,9/13/13
223,Clifton Ave & Armitage Ave,41.918216,-87.656936,15,8/22/13
307,Southport Ave & Clybourn Ave,41.921004,-87.663257,15,9/25/13
327,Sheffield Ave & Webster Ave,41.921687,-87.653714,19,9/25/13
87,Racine Ave & Fullerton Ave,41.92556258,-87.65840426,19,6/26/13
93,Sheffield Ave & Willow St,41.913688,-87.652855,15,6/27/13
143,Sedgwick St & Webster Ave,41.92197,-87.63854,15,8/3/13
225,Halsted St & Dickens Ave,41.919936,-87.64883,15,8/19/13
144,Larrabee St & Webster Ave,41.92175,-87.64401,15,8/2/13
186,Ogden Ave & Race Ave,41.891795,-87.658751,15,7/28/13
